id,titulo,tid,ruta,fecha,dimensiones,lienzo,gramaje,precio,imagen,miniatura,descripcion
1100001,Catedral Vieja,165,plumillas/andalucia/cadiz/cadiz/catedral-vieja,2010-10-02,"23,75 x 16,25","29,6 x 22,2",160 gr,75,/images/plumillas/cadiz/catedral_vieja.jpg,/images/plumillas/cadiz/catedral_vieja.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 23,8 x 16,3 cm. sobre papel guarro de 160 gr. de 29,6 x 22,2cm."
1100002,Iglesia del Carmen,165,plumillas/andalucia/cadiz/cadiz/iglesia-del-carmen,2010-10-04,"15 x 23,5","21 x 29,6",160 gr,70,/images/plumillas/cadiz/iglesia_carmen.jpg,/images/plumillas/cadiz/iglesia_carmen.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 15 x 23,5 cm. sobre papel guarro de 160 gr. de 21 x 24,6 cm."
1150001,Castillo de San Marcos,166,plumillas/andalucia/cadiz/puerto-santa-maria/castillo-de-san-marcos,2015-06-29,13 x 20,"18,9 x 26",190 gr,50,/images/plumillas/puertosantamaria/castillo_sanmarcos.jpg,/images/plumillas/puertosantamaria/castillo_sanmarcos.jpg,"Dibujo a plumilla original, firmado y fechado en 2015, de tamaño 13 x 20 cm. sobre papel guarro de 190 gr. de 18,4 x 26 cm."
1161001,Iglesia mudéjar de San Juan,167,plumillas/andalucia/cadiz/grazalema/iglesia-mudejar-de-san-juan,2010-08-02,"21 x 10,5","26,9 x 16,5",120 gr,45,/images/plumillas/grazalema/iglesia.jpg,/images/plumillas/grazalema/iglesia.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 21 x 10,5 cm. sobre papel guarro de 120 gr. de 26,4 x 16,5cm."
1161002,Panorámica,167,plumillas/andalucia/cadiz/grazalema/panoramica,2010-08-03,"23,8 x 15","29,8 x 21",120 gr,70,/images/plumillas/grazalema/ipanoramica.jpg,/images/plumillas/grazalema/ipanoramica.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 23,8 x 15 cm. sobre papel guarro de 120 gr. de 26,8 x 21 cm."
1168801,Torre de la Iglesia,168,plumillas/andalucia/cadiz/zahara-sierra/torre-de-la-iglesia,2008-10-09,12 x 18,"17,5 x 24,9",160 gr,45,/images/plumillas/zahara/zahara01.jpg,/images/plumillas/zahara/zahara01.jpg,"Dibujo a plumilla original, firmado y fechado en 2008, de tamaño 12 x 18 cm. sobre papel guarro de 160 gr. de 17,5  x 24,9 cm."
1168802,Iglesia,168,plumillas/andalucia/cadiz/zahara-sierra/iglesia,2008-10-13,12 x 17,"15 x 23,7",160 gr,40,/images/plumillas/zahara/zahara02.jpg,/images/plumillas/zahara/zahara02.jpg,"Dibujo a plumilla original, firmado y fechado en 2008, de tamaño 12 x 17 cm. sobre papel guarro de 160 gr. de 15 x 23,7 cm."
1168803,Torre de la Iglesia Parroquial,168,plumillas/andalucia/cadiz/zahara-sierra/torre-de-la-iglesia-parroquial,2010-10-06,"9 x 17,7","15 x 23,7",160 gr,30,/images/plumillas/zahara/zahara03.jpg,/images/plumillas/zahara/zahara03.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 9 x 17,7cm. sobre papel guarro de 160 gr. de 15 x 23,7 cm."
1300001,Puerta de Toledo,131,plumillas/castilla-la-mancha/ciudad-real/puerta-de-toledo,2020-03-18,"16,8 x 12","19,4 x 14,8",90 gr,40,/images/plumillas/ciudadreal/puerta_toledo.jpg,/images/plumillas/ciudadreal/puerta_toledo.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 16,8 x 12 cm. sobre papel guarro de 90 gr. de 19,4 x 14,8 cm."
1400001,Patio de la Mezquita,170,plumillas/andalucia/cordoba/cordoba/patio-de-la-mezquita,2006-02-02,17 x 23,"20,6 x 28,5",120 gr,80,/images/plumillas/cordoba/patio_mezquita.jpg,/images/plumillas/cordoba/patio_mezquita.jpg,"Dibujo a plumilla original, firmado y fechado en 2006, de tamaño 17 x 23 cm. sobre papel guarro de 120 gr. de 20,6 x 28,5 cm."
1400002,Interior de la Mezquita,170,plumillas/andalucia/cordoba/cordoba/interior-de-la-mezquita,2010-07-15,20 x 26,"29,6 x 41,9",,No disponible,/images/plumillas/cordoba/interior_mezquita.jpg,/images/plumillas/cordoba/interior_mezquita.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 20 x 26cm. sobre papel guarro de 120 gr. de 29,6 x 41,9 cm."
1472001,Castillo,171,plumillas/andalucia/cordoba/almodovar-del-rio/interior-de-la-mezquita,2013-04-01,"26 x 12,35","32 x 22,1",cart,65,/images/plumillas/almodovario/castillo.jpg,/images/plumillas/almodovario/castillo.jpg,"Dibujo a plumilla original, firmado y fechado en 2013, de tamaño 26 x 12,3 cm. sobre cartulina de 32 x 22,1 cm."
1480001,Iglesia de la Asunción,172,plumillas/andalucia/cordoba/priego/Iglesia-de-la-asuncion,2013-01-13,"20,35 x 13,2","29,6 x 20",120 gr,55,/images/plumillas/priego/iglesia_asuncion.jpg,/images/plumillas/priego/iglesia_asuncion.jpg,"Dibujo a plumilla original, firmado y fechado en 2013, de tamaño 20,4 x 13,2 cm. sobre papel guarro de 120 gr. de 29,6 x 20 cm."
1500001,Puerta del Mar,173,plumillas/galicia/a-coruna/a-coruna/puerta-del-mar,1989-09-15,,,,No disponible,/images/plumillas/acoruna/puerta_mar.jpg,/images/plumillas/acoruna/puerta_mar.jpg,"Dibujo a plumilla original, firmado y fechado en 1989."
1600001,Casas Colgantes,132,plumillas/castilla-la-mancha/cuenca/cuenca/casas-colgantes,2015-11-08,12 x 16,"14,7 x 21",120 gr,40,/images/plumillas/cuenca/casas_colgantes.jpg,/images/plumillas/cuenca/casas_colgantes.jpg,"Dibujo a plumilla original, firmado y fechado en 2015, de tamaño 12 x 16 cm. sobre papel guarro de 120 gr. de 14,2 x 21 cm."
1700001,Abadía Sant Pere de Galligans,107,plumillas/catalunya/girona/girona/abadia-sant-pere-de-galligans,2012-12-01,15 x 21,"21 x 29,6",120 gr,65,/images/plumillas/gerona/abadia_pedrogalligans.jpg,/images/plumillas/gerona/abadia_pedrogalligans.jpg,"Dibujo a plumilla original, firmado y fechado en 2012, de tamaño 15 x 21 cm. sobre papel guarro de 120 gr. de 21 x 29,6 cm."
1732001,Panorámica,110,plumillas/catalunya/girona/tossa-de-mar/panoramica,2010-08-08,"33,6 x 17,6","40,2 x 29,6",90 gr,60,/images/plumillas/tossademar/panoramica.jpg,/images/plumillas/tossademar/panoramica.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 25 x 12,5 cm. sobre papel guarro de 120 gr. de 21 x 29,6 cm."
